,Skills Required,count,Scrape Date,Job Title,Company,Location,Date Posted,Experience Level,Job Type,Work Type,Job Link,City,State,Job Category,Day Posted,Salary_Definite
2729,"R, Machine Learning",297,2025-02-17,AI Transformation Lead,Fieldguide,"San Francisco, CA",2025-02-11,Senior Level,Not Specified,Remote,https://www.linkedin.com/jobs/view/ai-transformation-lead-at-fieldguide-4147153952?position=24&pageNum=0&refId=h%2B%2FXezNyMVf%2Fn0Qw2miGSw%3D%3D&trackingId=AUntFyXIYEmIZNoNf3kq8w%3D%3D,San Francisco,CA,AI/ML,Tuesday,142000.0
2730,"R, Machine Learning",297,2025-02-17,"AI Training for K-12 Education Expert (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-14,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-training-for-k-12-education-expert-freelance-remote-at-alignerr-4153418114?position=39&pageNum=0&refId=h%2B%2FXezNyMVf%2Fn0Qw2miGSw%3D%3D&trackingId=kTiVdz8A5y5b%2Bt%2FWrN5BqA%3D%3D,San Francisco,CA,AI/ML,Friday,186000.0
2731,"R, Machine Learning",297,2025-02-17,"AI Trainer for Medicine (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-15,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-trainer-for-medicine-freelance-remote-at-alignerr-4153483896?position=41&pageNum=0&refId=h%2B%2FXezNyMVf%2Fn0Qw2miGSw%3D%3D&trackingId=xGCCwRECbt7D4rw1EBMaww%3D%3D,San Francisco,CA,AI/ML,Saturday,149000.0
2732,"R, Machine Learning",297,2025-02-17,AI Strategist,KUNGFU.AI,"Austin, TX",2025-02-13,Senior Level,Full-time,Remote,https://www.linkedin.com/jobs/view/ai-strategist-at-kungfu-ai-4151639892?position=45&pageNum=0&refId=h%2B%2FXezNyMVf%2Fn0Qw2miGSw%3D%3D&trackingId=XJsHelG%2FsjsRdqzODlPP7Q%3D%3D,Austin,TX,AI/ML,Thursday,155000.0
2733,"R, Machine Learning",297,2025-02-17,AI Transformation Lead,Fieldguide,"San Francisco, CA",2025-02-11,Senior Level,Not Specified,Remote,https://www.linkedin.com/jobs/view/ai-transformation-lead-at-fieldguide-4147153952?position=31&pageNum=0&refId=WEe0Q2i%2FUHNl8X7CwVExYg%3D%3D&trackingId=ZVvdC93CbU%2Brgwv3gO9xTQ%3D%3D,San Francisco,CA,AI/ML,Tuesday,151000.0
2734,"R, Machine Learning",297,2025-02-17,"AI Training for K-12 Education Expert (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-14,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-training-for-k-12-education-expert-freelance-remote-at-alignerr-4153418114?position=32&pageNum=0&refId=WEe0Q2i%2FUHNl8X7CwVExYg%3D%3D&trackingId=SfnkwahWVFatMBWZ0fkIEQ%3D%3D,San Francisco,CA,AI/ML,Friday,179000.0
2735,"R, Machine Learning",297,2025-02-17,"AI Trainer for Medicine (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-15,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-trainer-for-medicine-freelance-remote-at-alignerr-4153483896?position=40&pageNum=0&refId=WEe0Q2i%2FUHNl8X7CwVExYg%3D%3D&trackingId=EIVr%2B%2BedGsrgg3UOTNr0%2Fg%3D%3D,San Francisco,CA,AI/ML,Saturday,200000.0
2736,"R, Machine Learning",297,2025-02-17,AI Strategist,KUNGFU.AI,"Austin, TX",2025-02-13,Senior Level,Full-time,Remote,https://www.linkedin.com/jobs/view/ai-strategist-at-kungfu-ai-4151639892?position=45&pageNum=0&refId=WEe0Q2i%2FUHNl8X7CwVExYg%3D%3D&trackingId=AgVRxvv6Agy2Jg77%2FcGSDg%3D%3D,Austin,TX,AI/ML,Thursday,185000.0
2737,"R, Machine Learning",297,2025-02-17,AI Transformation Lead,Fieldguide,"San Francisco, CA",2025-02-11,Senior Level,Not Specified,Remote,https://www.linkedin.com/jobs/view/ai-transformation-lead-at-fieldguide-4147153952?position=6&pageNum=2&refId=ul4GTnD0WeDVjJHxmtX%2B8A%3D%3D&trackingId=aOhhbmo7r3IxjYZ9jv42TA%3D%3D,San Francisco,CA,AI/ML,Tuesday,201000.0
2738,"R, Machine Learning",297,2025-02-17,"AI Training for K-12 Education Expert (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-14,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-training-for-k-12-education-expert-freelance-remote-at-alignerr-4153418114?position=7&pageNum=2&refId=ul4GTnD0WeDVjJHxmtX%2B8A%3D%3D&trackingId=JDhtNC3Cmajx0NFD5d8Ebw%3D%3D,San Francisco,CA,AI/ML,Friday,153000.0
2739,"R, Machine Learning",297,2025-02-17,"AI Trainer for Medicine (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-15,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-trainer-for-medicine-freelance-remote-at-alignerr-4153483896?position=48&pageNum=0&refId=QDm78NduroOmPhOicxnqWg%3D%3D&trackingId=VYj7tZEOd4R2FSrJOTpfKw%3D%3D,San Francisco,CA,AI/ML,Saturday,185000.0
2740,"R, Machine Learning",297,2025-02-17,AI Transformation Lead,Fieldguide,"San Francisco, CA",2025-02-11,Senior Level,Not Specified,Remote,https://www.linkedin.com/jobs/view/ai-transformation-lead-at-fieldguide-4147153952?position=51&pageNum=0&refId=QDm78NduroOmPhOicxnqWg%3D%3D&trackingId=BCe42ctUrq988ZTR6NyMZw%3D%3D,San Francisco,CA,AI/ML,Tuesday,167000.0
2741,"R, Machine Learning",297,2025-02-17,"AI Training for K-12 Education Expert (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-14,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-training-for-k-12-education-expert-freelance-remote-at-alignerr-4153418114?position=33&pageNum=0&refId=h8eywf9XjE4nof3%2FuubcMQ%3D%3D&trackingId=dlaHmpYh2FuX5eVJHnYbJw%3D%3D,San Francisco,CA,AI/ML,Friday,181000.0
2742,"R, Machine Learning",297,2025-02-17,"AI Trainer for Medicine (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-15,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-trainer-for-medicine-freelance-remote-at-alignerr-4153483896?position=49&pageNum=0&refId=h8eywf9XjE4nof3%2FuubcMQ%3D%3D&trackingId=96CK8T84Htv9SghmhjlEKQ%3D%3D,San Francisco,CA,AI/ML,Saturday,160000.0
2743,"R, Machine Learning",297,2025-02-17,"AI Training for K-12 Education Expert (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-14,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-training-for-k-12-education-expert-freelance-remote-at-alignerr-4153418114?position=8&pageNum=2&refId=m2ManRMNsz9IPBgYmENsEw%3D%3D&trackingId=9k744gTB5rHmjSq90gViOg%3D%3D,San Francisco,CA,AI/ML,Friday,203000.0
2744,"R, Machine Learning",297,2025-02-17,"AI Trainer for Medicine (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-15,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-trainer-for-medicine-freelance-remote-at-alignerr-4153483896?position=1&pageNum=5&refId=BQNZ0Whipz6HT%2FlzXweJgw%3D%3D&trackingId=8Q%2FyR3QDzTaLi3EPXFKGEA%3D%3D,San Francisco,CA,AI/ML,Saturday,152000.0
2745,"R, Machine Learning",297,2025-02-17,"AI Product Intern, Summer 2025",Arcade,"San Francisco, CA",2025-02-14,Senior Level,Not Specified,On-site,https://www.linkedin.com/jobs/view/ai-product-intern-summer-2025-at-arcade-4153198273?position=1&pageNum=10&refId=koXE9XTcBKrdRuVhTmVGGw%3D%3D&trackingId=F2Yk2eXPPv6ONV1FqLABSQ%3D%3D,San Francisco,CA,AI/ML,Friday,180000.0
2746,"R, Machine Learning",297,2025-02-17,VP AI,Spotify,"New York, NY",2025-02-07,Senior Level,Not Specified,On-site,https://www.linkedin.com/jobs/view/vp-ai-at-spotify-4144503618?position=3&pageNum=10&refId=koXE9XTcBKrdRuVhTmVGGw%3D%3D&trackingId=0wOOrs5WYGPZ8kEYPt7w%2FQ%3D%3D,New York,NY,AI/ML,Friday,191000.0
2747,"R, Machine Learning",297,2025-02-17,"AI Training for K-12 Education Expert (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-14,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-training-for-k-12-education-expert-freelance-remote-at-alignerr-4153418114?position=40&pageNum=0&refId=YQjeJ2PbNYJjIT1MUQqilQ%3D%3D&trackingId=yvy5WW79ewqi7klwebIqBg%3D%3D,San Francisco,CA,AI/ML,Friday,165000.0
2748,"R, Machine Learning",297,2025-02-17,"AI Trainer for Medicine (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-15,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-trainer-for-medicine-freelance-remote-at-alignerr-4153483896?position=53&pageNum=0&refId=YQjeJ2PbNYJjIT1MUQqilQ%3D%3D&trackingId=WHg%2FlW6kkz%2BxINFq7XxTTg%3D%3D,San Francisco,CA,AI/ML,Saturday,140000.0
2749,"R, Machine Learning",297,2025-02-17,"AI Trainer for Medicine (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-15,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-trainer-for-medicine-freelance-remote-at-alignerr-4153483896?position=5&pageNum=5&refId=PNhMDUR4zTJoK%2FTYEZ9Vqg%3D%3D&trackingId=GTcnSFOdHdE3rzjvU5E8iw%3D%3D,San Francisco,CA,AI/ML,Saturday,193000.0
2752,"R, Machine Learning",297,2025-02-18,Client Success Associate,Zest AI,United States,2025-02-07,Mid Level,Not Specified,Remote,https://www.linkedin.com/jobs/view/client-success-associate-at-zest-ai-4146258052?position=4&pageNum=15&refId=Gbdv7W6Rdudj562Cprs8Uw%3D%3D&trackingId=jHibJqNhBmSYb5hnR2SLrQ%3D%3D,Sterling,VA,Other,Friday,132000.0
2754,"R, Machine Learning",297,2025-02-18,"AI Training for K-12 Education Expert (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-14,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-training-for-k-12-education-expert-freelance-remote-at-alignerr-4153418114?position=41&pageNum=0&refId=8N8NFhOXeifv4GIvhKJwNg%3D%3D&trackingId=seBafAUYQAtmzGtYblqRKQ%3D%3D,San Francisco,CA,AI/ML,Friday,158000.0
2755,"R, Machine Learning",297,2025-02-18,AI Senior Scientist,Vivodyne,"Brisbane, CA",2025-02-15,Senior Level,Not Specified,Hybrid,https://www.linkedin.com/jobs/view/ai-senior-scientist-at-vivodyne-4153484596?position=45&pageNum=0&refId=8N8NFhOXeifv4GIvhKJwNg%3D%3D&trackingId=BnVTaOTUKuWjuqoyZD6WqA%3D%3D,Brisbane,CA,AI/ML,Saturday,167000.0
2756,"R, Machine Learning",297,2025-02-18,"AI Trainer for Medicine (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-15,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-trainer-for-medicine-freelance-remote-at-alignerr-4153483896?position=59&pageNum=0&refId=8N8NFhOXeifv4GIvhKJwNg%3D%3D&trackingId=oT4resVW1nKRtK4zc1qamg%3D%3D,San Francisco,CA,AI/ML,Saturday,189000.0
2758,"R, Machine Learning",297,2025-02-18,"AI Trainer for Medicine (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-15,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-trainer-for-medicine-freelance-remote-at-alignerr-4153483896?position=9&pageNum=5&refId=jFzr3y%2FXDajvdVtrn7qfIQ%3D%3D&trackingId=0%2BA46HEnYP5aQ0D2e2nIKw%3D%3D,San Francisco,CA,AI/ML,Saturday,141000.0
2759,"R, Machine Learning",297,2025-02-18,VP AI,Spotify,"New York, NY",2025-02-07,Senior Level,Not Specified,On-site,https://www.linkedin.com/jobs/view/vp-ai-at-spotify-4144503618?position=10&pageNum=7&refId=RH8jptgG4p%2FBsVLD56mOSQ%3D%3D&trackingId=9CekwZBuW7CBl8QvsIA9Eg%3D%3D,New York,NY,AI/ML,Friday,192000.0
2760,"R, Machine Learning",297,2025-02-18,AI Data Specialist (Contract),Notion,"San Francisco, CA",2025-02-04,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-data-specialist-contract-at-notion-4143306671?position=10&pageNum=15&refId=DChbcqXW7taweibgiIGR5w%3D%3D&trackingId=xYOHRFD70EG78ZGO5C2yQw%3D%3D,San Francisco,CA,AI/ML,Tuesday,145000.0
2762,"R, Machine Learning",297,2025-02-18,AI Senior Scientist,Vivodyne,"Brisbane, CA",2025-02-15,Senior Level,Not Specified,Hybrid,https://www.linkedin.com/jobs/view/ai-senior-scientist-at-vivodyne-4153484596?position=41&pageNum=0&refId=ZooJ34xwZiQM4K4eSzPbSw%3D%3D&trackingId=kkqXJV0gphDBbikWpeN7tw%3D%3D,Brisbane,CA,AI/ML,Saturday,174000.0
2763,"R, Machine Learning",297,2025-02-18,AI Transformation Lead,Fieldguide,"San Francisco, CA",2025-02-11,Senior Level,Not Specified,Remote,https://www.linkedin.com/jobs/view/ai-transformation-lead-at-fieldguide-4147153952?position=57&pageNum=0&refId=ZooJ34xwZiQM4K4eSzPbSw%3D%3D&trackingId=7%2Fdm4iYvgT9dYpwgnkt%2Fmw%3D%3D,San Francisco,CA,AI/ML,Tuesday,167000.0
2764,"R, Machine Learning",297,2025-02-18,"AI Trainer for Medicine (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-15,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-trainer-for-medicine-freelance-remote-at-alignerr-4153483896?position=60&pageNum=0&refId=ZooJ34xwZiQM4K4eSzPbSw%3D%3D&trackingId=fQCGAf32NSi8%2By5l%2FPAfug%3D%3D,San Francisco,CA,AI/ML,Saturday,181000.0
2765,"R, Machine Learning",297,2025-02-18,AI Transformation Lead,Fieldguide,"San Francisco, CA",2025-02-11,Senior Level,Not Specified,Remote,https://www.linkedin.com/jobs/view/ai-transformation-lead-at-fieldguide-4147153952?position=8&pageNum=5&refId=ZlUH%2BGFabN2KG4gUZdvbog%3D%3D&trackingId=AQCQF1K0WyaI5xW0xTfeww%3D%3D,San Francisco,CA,AI/ML,Tuesday,196000.0
2767,"R, Machine Learning",297,2025-02-18,AI Senior Scientist,Vivodyne,"Brisbane, CA",2025-02-15,Senior Level,Not Specified,Hybrid,https://www.linkedin.com/jobs/view/ai-senior-scientist-at-vivodyne-4153484596?position=42&pageNum=0&refId=q9CADUzoayn4vxSJiLN0oA%3D%3D&trackingId=TtCdSF5yoyR3ZKCuA3SzCg%3D%3D,Brisbane,CA,AI/ML,Saturday,170000.0
2768,"R, Machine Learning",297,2025-02-18,AI Transformation Lead,Fieldguide,"San Francisco, CA",2025-02-11,Senior Level,Not Specified,Remote,https://www.linkedin.com/jobs/view/ai-transformation-lead-at-fieldguide-4147153952?position=58&pageNum=0&refId=q9CADUzoayn4vxSJiLN0oA%3D%3D&trackingId=XnMaez%2FVN1D03qmgS3ja7w%3D%3D,San Francisco,CA,AI/ML,Tuesday,192000.0
2770,"R, Machine Learning",297,2025-02-18,"AI Product Intern, Summer 2025",Arcade,"San Francisco, CA",2025-02-14,Senior Level,Not Specified,On-site,https://www.linkedin.com/jobs/view/ai-product-intern-summer-2025-at-arcade-4153198273?position=3&pageNum=10&refId=7OdTiQLR23PvGOnNi7Gy0w%3D%3D&trackingId=%2FzBaeZuC7Cc1kFgnSwZbgQ%3D%3D,San Francisco,CA,AI/ML,Friday,207000.0
2771,"R, Machine Learning",297,2025-02-18,VP AI,Spotify,"New York, NY",2025-02-07,Senior Level,Not Specified,On-site,https://www.linkedin.com/jobs/view/vp-ai-at-spotify-4144503618?position=5&pageNum=10&refId=7OdTiQLR23PvGOnNi7Gy0w%3D%3D&trackingId=NwNPsl%2FRWTE4rbak4556MA%3D%3D,New York,NY,AI/ML,Friday,160000.0
2772,"R, Machine Learning",297,2025-02-19,"AI Training for K-12 Education Expert (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-14,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-training-for-k-12-education-expert-freelance-remote-at-alignerr-4153418114?position=42&pageNum=0&refId=6GgzB2Zwhe8zA8idXDmlrA%3D%3D&trackingId=gnTZJMDxg8%2FitVkSuFMBjw%3D%3D,San Francisco,CA,AI/ML,Friday,191000.0
2773,"R, Machine Learning",297,2025-02-19,AI Senior Scientist,Vivodyne,"Brisbane, CA",2025-02-15,Senior Level,Not Specified,Hybrid,https://www.linkedin.com/jobs/view/ai-senior-scientist-at-vivodyne-4153484596?position=51&pageNum=0&refId=6GgzB2Zwhe8zA8idXDmlrA%3D%3D&trackingId=KEyIKG%2F5ihM6P1iBKvDL9g%3D%3D,Brisbane,CA,AI/ML,Saturday,147000.0
2774,"R, Machine Learning",297,2025-02-19,AI Senior Scientist,Vivodyne,"Brisbane, CA",2025-02-15,Senior Level,Not Specified,Hybrid,https://www.linkedin.com/jobs/view/ai-senior-scientist-at-vivodyne-4153484596?position=1&pageNum=5&refId=8I7B5IKm7PZSBd52m2C%2B3Q%3D%3D&trackingId=GF%2B%2F7qORHSrHZceQByeSVg%3D%3D,Brisbane,CA,AI/ML,Saturday,199000.0
2775,"R, Machine Learning",297,2025-02-19,AI Transformation Lead,Fieldguide,"San Francisco, CA",2025-02-11,Senior Level,Not Specified,Remote,https://www.linkedin.com/jobs/view/ai-transformation-lead-at-fieldguide-4147153952?position=6&pageNum=7&refId=p%2FEGXZ3rezhA461j3DIKdA%3D%3D&trackingId=3l5de165%2BiN%2FlvnDOxbebA%3D%3D,San Francisco,CA,AI/ML,Tuesday,183000.0
2776,"R, Machine Learning",297,2025-02-19,"AI Training for K-12 Education Expert (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-14,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-training-for-k-12-education-expert-freelance-remote-at-alignerr-4153418114?position=59&pageNum=0&refId=EtwQLqtmadffvyMOVW0Ylg%3D%3D&trackingId=o6rH6RoL7RhSz%2Fb1T%2ByK8Q%3D%3D,San Francisco,CA,AI/ML,Friday,174000.0
2777,"R, Machine Learning",297,2025-02-19,"AI Training for K-12 Education Expert (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-14,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-training-for-k-12-education-expert-freelance-remote-at-alignerr-4153418114?position=9&pageNum=5&refId=erlXoxlb7i5IC5CuKdo%2BFw%3D%3D&trackingId=mwS1vM0Isl9ybvLn1pwthw%3D%3D,San Francisco,CA,AI/ML,Friday,207000.0
2778,"R, Machine Learning",297,2025-02-19,AI Transformation Lead,Fieldguide,"San Francisco, CA",2025-02-11,Senior Level,Not Specified,Remote,https://www.linkedin.com/jobs/view/ai-transformation-lead-at-fieldguide-4147153952?position=8&pageNum=10&refId=Ja0%2BS%2FsKZY%2Bwe6v6wfQ1KQ%3D%3D&trackingId=zua7jTFCKbhkUorLPQwrUQ%3D%3D,San Francisco,CA,AI/ML,Tuesday,163000.0
2779,"R, Machine Learning",297,2025-02-19,"AI Training for K-12 Education Expert (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-14,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-training-for-k-12-education-expert-freelance-remote-at-alignerr-4153418114?position=48&pageNum=0&refId=Ai8X%2FlVHVtef%2BKH%2BkaYu0Q%3D%3D&trackingId=vfpCcyyLhE7IWpgaaiD%2FYA%3D%3D,San Francisco,CA,AI/ML,Friday,210000.0
2780,"R, Machine Learning",297,2025-02-19,AI Senior Scientist,Vivodyne,"Brisbane, CA",2025-02-15,Senior Level,Not Specified,Hybrid,https://www.linkedin.com/jobs/view/ai-senior-scientist-at-vivodyne-4153484596?position=54&pageNum=0&refId=Ai8X%2FlVHVtef%2BKH%2BkaYu0Q%3D%3D&trackingId=DUnPlDT9VGWK3iGuL1VDiw%3D%3D,Brisbane,CA,AI/ML,Saturday,153000.0
2781,"R, Machine Learning",297,2025-02-19,AI Senior Scientist,Vivodyne,"Brisbane, CA",2025-02-15,Senior Level,Not Specified,Hybrid,https://www.linkedin.com/jobs/view/ai-senior-scientist-at-vivodyne-4153484596?position=4&pageNum=5&refId=INSUVDcEUp%2Fdt%2FefbDMyQw%3D%3D&trackingId=Z3ifPd6w6PqGJfQTHiFrmw%3D%3D,Brisbane,CA,AI/ML,Saturday,180000.0
2782,"R, Machine Learning",297,2025-02-19,"AI Trainer for Medicine (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-15,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-trainer-for-medicine-freelance-remote-at-alignerr-4153483896?position=5&pageNum=7&refId=vOsggelMmDHgUBNOvxyASA%3D%3D&trackingId=FmVr1UGef%2FrtuDVKJzQmMQ%3D%3D,San Francisco,CA,AI/ML,Saturday,161000.0
2783,"R, Machine Learning",297,2025-02-19,Machine Learning Scientist,C10 Labs,"Cambridge, MA",2025-02-19,Entry Level,Not Specified,On-site,https://www.linkedin.com/jobs/view/machine-learning-scientist-at-c10-labs-4158941496?position=10&pageNum=10&refId=j9goelKzJuGVgAI%2FmX4wfw%3D%3D&trackingId=QotKOQcudB1ZihQG7SflLQ%3D%3D,Cambridge,MA,AI/ML,Wednesday,83000.0
2784,"R, Machine Learning",297,2025-02-21,AI Transformation Lead,Fieldguide,"San Francisco, CA",2025-02-11,Senior Level,Not Specified,Remote,https://www.linkedin.com/jobs/view/ai-transformation-lead-at-fieldguide-4147153952?position=22&pageNum=0&refId=GwMs4We%2FEhieDee7C1uESQ%3D%3D&trackingId=mJy5wVw54TSpbNTyGCGNHg%3D%3D,San Francisco,CA,AI/ML,Tuesday,166000.0
2785,"R, Machine Learning",297,2025-02-21,AI Senior Scientist,Vivodyne,"Brisbane, CA",2025-02-15,Senior Level,Not Specified,Hybrid,https://www.linkedin.com/jobs/view/ai-senior-scientist-at-vivodyne-4153484596?position=35&pageNum=0&refId=GwMs4We%2FEhieDee7C1uESQ%3D%3D&trackingId=Sw9ZkLMfBNNASQQys13WYA%3D%3D,Brisbane,CA,AI/ML,Saturday,195000.0
2786,"R, Machine Learning",297,2025-02-21,"AI Training for K-12 Education Expert (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-14,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-training-for-k-12-education-expert-freelance-remote-at-alignerr-4153418114?position=53&pageNum=0&refId=GwMs4We%2FEhieDee7C1uESQ%3D%3D&trackingId=LoGzaCgjedh2x5rSom0ujA%3D%3D,San Francisco,CA,AI/ML,Friday,149000.0
2787,"R, Machine Learning",297,2025-02-21,AI Senior Scientist,Vivodyne,"Brisbane, CA",2025-02-15,Senior Level,Not Specified,Hybrid,https://www.linkedin.com/jobs/view/ai-senior-scientist-at-vivodyne-4153484596?position=10&pageNum=2&refId=ZbXok72NOB0PYhKLPL2hwQ%3D%3D&trackingId=%2BsGkrBLgxgqCRhDskPa06Q%3D%3D,Brisbane,CA,AI/ML,Saturday,140000.0
2788,"R, Machine Learning",297,2025-02-21,"AI Training for K-12 Education Expert (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-14,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-training-for-k-12-education-expert-freelance-remote-at-alignerr-4153418114?position=3&pageNum=5&refId=rcD3BQnl3VmaSHQmwf6W0g%3D%3D&trackingId=PTgMV0cYuEbTiybgJF%2FSwg%3D%3D,San Francisco,CA,AI/ML,Friday,186000.0
2789,"R, Machine Learning",297,2025-02-21,"VP, AI",IAB,"New York, NY",2025-02-19,Senior Level,Not Specified,Remote,https://www.linkedin.com/jobs/view/vp-ai-at-iab-4156587147?position=3&pageNum=7&refId=fapMA4K%2FZbOdV0G1z5ZB4g%3D%3D&trackingId=uhshZlQlilOQVy3i19YTSg%3D%3D,New York,NY,AI/ML,Wednesday,160000.0
2790,"R, Machine Learning",297,2025-02-21,VP AI,Spotify,"New York, NY",2025-02-21,Senior Level,Not Specified,On-site,https://www.linkedin.com/jobs/view/vp-ai-at-spotify-4161801040?position=4&pageNum=7&refId=fapMA4K%2FZbOdV0G1z5ZB4g%3D%3D&trackingId=RS1T%2FkH3mZ1jmiKI7VD9Bw%3D%3D,New York,NY,AI/ML,Friday,207000.0
2791,"R, Machine Learning",297,2025-02-21,"AI Trainer for Medicine (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-15,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-trainer-for-medicine-freelance-remote-at-alignerr-4153483896?position=8&pageNum=7&refId=fapMA4K%2FZbOdV0G1z5ZB4g%3D%3D&trackingId=jK7rCHa4UQlKwJqX7f%2Fuew%3D%3D,San Francisco,CA,AI/ML,Saturday,208000.0
2792,"R, Machine Learning",297,2025-02-21,Client Success Associate,Zest AI,United States,2025-02-07,Mid Level,Not Specified,Remote,https://www.linkedin.com/jobs/view/client-success-associate-at-zest-ai-4146258052?position=10&pageNum=12&refId=qCsDfhN39HrKRU8BcB7GRw%3D%3D&trackingId=kZJN9uQr1mo8%2BviNxgs8kA%3D%3D,Franklin,TN,Other,Friday,124000.0
2793,"R, Machine Learning",297,2025-02-23,AI Senior Scientist,Vivodyne,"Brisbane, CA",2025-02-15,Senior Level,Not Specified,Hybrid,https://www.linkedin.com/jobs/view/ai-senior-scientist-at-vivodyne-4153484596?position=20&pageNum=0&refId=goqOGnGunnS4CC%2Bn7Qbufg%3D%3D&trackingId=4WZ04h2WwElZkuqUqbC4PQ%3D%3D,Brisbane,CA,AI/ML,Saturday,158000.0
2794,"R, Machine Learning",297,2025-02-23,"VP, AI",IAB,"New York, NY",2025-02-19,Senior Level,Not Specified,Remote,https://www.linkedin.com/jobs/view/vp-ai-at-iab-4156587147?position=56&pageNum=0&refId=goqOGnGunnS4CC%2Bn7Qbufg%3D%3D&trackingId=d7VEMHUlrw3ElmzCLEJiqA%3D%3D,New York,NY,AI/ML,Wednesday,165000.0
2795,"R, Machine Learning",297,2025-02-23,"VP, AI",IAB,"New York, NY",2025-02-19,Senior Level,Not Specified,Remote,https://www.linkedin.com/jobs/view/vp-ai-at-iab-4156587147?position=6&pageNum=5&refId=gVrbE3R0pCQzKi5VHhGCIw%3D%3D&trackingId=4dPmIJVmPxXpecjK8D%2FAOA%3D%3D,New York,NY,AI/ML,Wednesday,170000.0
2796,"R, Machine Learning",297,2025-02-23,VP AI,Spotify,"New York, NY",2025-02-21,Senior Level,Not Specified,On-site,https://www.linkedin.com/jobs/view/vp-ai-at-spotify-4161801040?position=4&pageNum=7&refId=YsUmXOOhDAeLNmnO0LtK%2BQ%3D%3D&trackingId=Wx%2Fmd0F4YnC5p6djEoj0Kg%3D%3D,New York,NY,AI/ML,Friday,207000.0
2797,"R, Machine Learning",297,2025-02-24,AI Senior Scientist,Vivodyne,"Brisbane, CA",2025-02-15,Senior Level,Not Specified,Hybrid,https://www.linkedin.com/jobs/view/ai-senior-scientist-at-vivodyne-4153484596?position=25&pageNum=0&refId=uBJ5vZw%2Fj6GmtbutbF7zYQ%3D%3D&trackingId=4XGOKCISDKFeu7O3WQukMQ%3D%3D,Brisbane,CA,AI/ML,Saturday,163000.0
